,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,187.9757206439972,0.16900110244750977,0.8453243768782039,0.9794946648807512,1e-08,{'alpha': 1e-08},3,0.8365562913907285,0.983419551664677,0.8568778160614896,0.9752022278212439,0.8425385023898035,0.9798622151563328,5.584124019159993,0.007537766785443876,0.008529266021164607,0.0033647607830546273
1,197.51388637224832,0.1651453971862793,0.8453243768782039,0.9795388794096453,1e-07,{'alpha': 1e-07},3,0.8370860927152318,0.9835521952513596,0.8568778160614896,0.9752022278212439,0.8420074349442379,0.9798622151563328,8.15174534709858,0.005739878467432707,0.008415517477512189,0.0034165185520558584
2,190.3478345076243,0.18863868713378906,0.8453243768782039,0.9795830939385395,1e-06,{'alpha': 1e-06},3,0.8376158940397351,0.9836848388380421,0.8566127749801219,0.9752022278212439,0.8417419012214551,0.9798622151563328,4.468603807589672,0.03942451683384232,0.008160447441488927,0.0034686312291972413
3,194.4284474849701,0.12354604403177898,0.8456779211596253,0.9795830294920765,1e-05,{'alpha': 1e-05},2,0.83841059602649,0.983419551664677,0.8566127749801219,0.9753348362286169,0.8420074349442379,0.9799947005829359,2.8504362112429154,0.023481336317181287,0.007872793862154073,0.003313383038105097
4,202.95555607477823,0.15410280227661133,0.8442637440339402,0.9798039438785925,0.0001,{'alpha': 0.0001},7,0.8362913907284768,0.9827563337312641,0.8539623641664458,0.9765283118949741,0.8425385023898035,0.980127186009539,6.800504592011208,0.018339406166321202,0.007318862913870959,0.002552832166404005
5,196.53592324256897,0.1228489875793457,0.8453243768782039,0.9790526718397327,0.001,{'alpha': 0.001},3,0.8368211920529801,0.9819604722111686,0.8574078982242249,0.975865269858109,0.8417419012214551,0.9793322734499205,5.586205522303683,0.03654311235076873,0.008780023666904195,0.002496197872298394
6,184.27384440104166,0.08890906969706218,0.853544281421248,0.967606768614197,0.01,{'alpha': 0.01},1,0.8474172185430463,0.9726754211433877,0.8629737609329446,0.9619413870839412,0.8502389803505045,0.9682034976152624,7.15208974138418,0.03937949435831191,0.006768587787945731,0.004402418723298493
7,110.31235281626384,0.17197020848592123,0.8138589358317129,0.8665823958717809,0.1,{'alpha': 0.1},8,0.8111258278145694,0.8807534155723571,0.8126159554730983,0.8521416257790744,0.8178438661710037,0.8668521462639109,9.121600724845367,0.005894447240643224,0.002879817013695981,0.011682271547071943
8,38.804457664489746,0.15909361839294434,0.39429025985504684,0.3987527253379537,1,{'alpha': 1},9,0.38198675496688744,0.3871866295264624,0.4094884707129605,0.4102904124121469,0.3913967073818375,0.39878113407525173,5.221759742006441,0.004621901702967012,0.011415952375696443,0.009432101257566406
9,16.91506020228068,0.0890508492787679,0.052943256142831886,0.0529432387564728,10,{'alpha': 10},10,0.052980132450331126,0.052924791086350974,0.05300821627352239,0.05291075454183795,0.052841210833775895,0.052994170641229466,1.5132683742099236,0.050030387558255104,7.298718277619777e-05,3.646732609808944e-05
